keywords,context,text
chase#ball#grass#dog,The,"The ball is in the grass, and the dog is chasing it down the field with no way."
sand#walk#beach#dog,The,The man is walking on the beach with a dog and sand in his face and is about to drown.
mat#pole#jump#run,The,The pole was then run by a group of people who jumped on top of the mat to support it.
net#cast#water#boat,The,The boat was cast off in the water and nets were set up to seal off the small fishing village.
sidewalk#bike#ride#wheel,The,The ride is a four-wheeler with a sidecar and a bike on the rear axle.
sew#fabric#piece#machine,The,"The piece was fabricated by Sewes, who had previously worked as a machine operator for U."
ride#mower#grass#cut,The,"The ride was cut short by a mower, and the grass was mowed to the ground."
tree#decorate#ornament#put,The,The ornament was put on the tree in 1795 and is decorated with Native American and European motif.
knob#door#open#turn,The,The door was opened by someone who turns out to be a knock-out man in a suit.
wear#dress#sidewalk#stand,The,The man is dressed in a black t-shirt and is wearing a gray skirt and standing on sidewalk.
dog#fence#area#run,The,"The dog runs over to the fence in an attempt to get out of the area, but."
drink#pour#bottle#glass,The,The woman is pouring a glass of water onto a bottle that has been drinking out of the water.
bathtub#shave#stand#leg,The,"The bathtub with a bathtub that is standing on its legs, and a man who is shaved."
throw#distance#object#spin,The,The object is to spin the object around the circle and throw it in the distance away from them.
front#take#picture#stand,The,The picture was taken in front of a stand that had been set up by a group of people.
snap#smile#finger#sit,The,"The man is smiling, and is sitting with his finger snapped up to his mouth in a toast."
field#compete#team#game,The,"The team competes in a field of six other teams, all of which compete in different games."
ride#shirt#scooter#wear,The,The man wearing a red shirt rides a scooter with a red and white helmet over his face.
dog#tree#run#snow,The,"The dog runs across the snow and into the trees, where it is discovered by a local farmer."
throw#jump#trampoline#ball,The,The trampoline is throw-able and the ball jumps off of the top of the tower.
music#background#ball#juggle,The,The music is juggled with the background of a ballroom dance and the lyrics are in English.
newspaper#drink#coffee#read,The,The young woman is drinking coffee and readies to go to the newspaper to see what the newspaper.
hand#clap#song#singe,The,"The song is sung by Clap Your Hands Say I Don't, a Canadian alternative rock band."
clean#use#floor#mop,The,"The floor is used to clean the mop, and the floor is also used for other equipment."
presentation#front#give#stand,The,"The presentation was given in front of a standing room audience, with a standing ovation each time."
soap#wash#sink#hand,The,"The ship is washed up on the beach, and the soil is sunk by the hand of Mr."
tree#tie#rope#walk,The,"The tree is tied to the rope, and the man walks around it to get a better look."
fry#ingredient#add#pan,The,"The main ingredients of this dish are broccoli and carrots, adding a pan of sauce to the dish."
street#dog#night#walk,The,The dog walks down the street at night and sees an old man who is sleeping on the ground.
crowd#music#watch#dance,The,"The music video for ""I Can't Dance"" was watched by a crowd of more than 1."
meat#cut#piece#knife,The,"The piece was cut out of a knife, with the meat being cut into small pieces before it."
surfboard#sail#water#ride,The,The surfboard is attached to a sail that rides on the water's surface like a surfboard.
background#stage#dance#music,The,"The music video for ""Dance Dance"" was staged in the background of the music video itself."
face#shave#apply#cream,The,The man applies the cream to his face and then rinses it off with a facial wash.
give#table#lay#massage,The,The woman lays down on the table and gives a gentle massage to the man's back and shoulders.
hand#hold#water#walk,The,The man in the water is holding a hand-held walkie-talkie on his lap.
coat#wear#walk#sidewalk,The,"The man is wearing a coat, walking down the sidewalk with his wife and child in his arms."
tree#dig#hole#plant,The,"The plant is dug up, the trees are cut down, and the holes are filled with gravel."
snow#hill#ski#cover,The,"The hill is covered with snow, and the ski resort is full of skiers and snowboarders."
table#light#candle#sit,The,"The light is sitting on the table with a candle in it, and there is a lamp beside."
flip#pancake#fry#pan,The,"The pancake is fried in a pan with some butter, and then deep-fries it."
band#field#perform#march,The,"The band performed in the middle of the field before marching to the stadium, where they were met."
nail#cat#hold#clip,The,"The cat clip was held up by the bailiff, who told him to put it down again."
dog#frisbee#trick#perform,The,"The dogs are performing tricks on the frisbee, and the people are doing tricks on them."
demonstrate#knit#needle#yarn,The,The man is demonstrating how to knit a needle and yarn together in order to make a knitting stitch.
weight#bench#press#gym,The,"The gym has a weight bench, dumbbell press, and floor exercise equipment in the gymnasium."
sit#alligator#hold#mouth,The,"The alligators are held in the mouth of the mangrove, sitting on their snouts."
wood#cut#use#piece,The,The wood used in this piece was cut from the same tree that was used in the original sculpture.
pour#bowl#mix#ingredient,The,"The ingredients are mixed and poured into a bowl, which is then mixed with the other two ingredients."
vest#work#worker#wear,The,"The workers were wearing their work clothes, and one worker was wearing a vest over his uniform jacket."
stage#band#perform#crowd,The,"The band performed in the crowd at the end of the second stage, which was completely empty except."
eat#lunch#sit#worker,The,"The workers are sitting around eating lunch, and one of them is about to go to the bathroom."
floor#fall#chair#sit,The,"The chair of the upper house is sitting on the floor, and a man is falling asleep nearby."
bed#book#lay#read,The,The book was laid out in a bed that was read from left to right by the narrator herself.
bed#hair#comb#sit,The,"The bed is long and narrow, with a long, combed hair sitting on the edge of it."
piece#draw#marker#paper,The,"The paper draws on a number of historical marker pieces, including those from the United States and Australia."
ride#horse#lasso#cow,The,The horse riding lasso is a cow-riding lasso in the United States of America.
word#spray#paint#wall,The,"The word ""Painting"" is used to refer to the painting on the wall of the bathroom."
throw#catch#catcher#ball,The,The catcher caught the ball and threw it to second baseman Jim Edmondson for the third out.
wear#street#walk#shirt,The,The man in black is wearing a black shirt and is walking down the street in a dark jacket.
house#sander#floor#sand,The,The house is on the first floor of the sand-and-sander building in the town.
dog#tug#toy#war,The,The dog is tugging on the toy during the interlude during the Second World War in 1942.
jump#pile#rake#leave,The,The man is raking leaves and jumping over a pile of rakes to get to the water.
face#pop#bubble#blow,The,The bubble is blown up by a pop-up on the face of a man with dark skin.
street#scooter#motorize#ride,The,The motorized scooter rides on the street next to a motorized wheeled scooter nearby.
lay#tickle#laugh#bed,The,"The bed is laid out in a small room, laughing and tickling each other at the same time."
cigarette#continue#look#smoke,The,"The smoke continued to billow out of the chimney, looking like a huge black cigar billowing."
race#compete#pool#swimmer,The,The swimming pool is a multi-purpose facility that can be used to compete in various sports races.
ocean#catch#surfboard#wave,The,The surfboard is caught in the ocean by the waves and is berthed in the bay.
plate#food#eat#face,The,"The food is on a plate that is facing the camera, and it has to be eaten quickly."
dribble#court#ball#player,The,The ball was played from the court to the player who dribbled the ball to the players.
iron#straighten#demonstrate#hair,The,The man's hair was straightened and he demonstrated how to iron out the wrinkles on his face.
hit#alley#roll#ball,The,"The ball was rolled into the alley, where it hit a man in the back of the head."
front#brush#mirror#tooth,The,"The front of the tooth is brushed with a small brush, mirroring the pattern on the face."
leap#dog#air#ball,The,The dog is air-lifted to a ballroom in Leipzig for a surgical procedure.
camel#ride#lead#top,The,"The lead single ""Camel Ride"" topped the charts in both Canada and the United States respectively."
jump#run#track#perform,The,"The track was performed by the band, who were running a jump from the top of the bridge."
roll#grass#dog#back,The,"The dog is back on the grass, rolling around and having a lot of fun with the camera."
watch#sit#stand#game,The,"The men are watchful, as they sit in the game, standing to one side of them."
cut#hair#chair#sit,The,"The man's hair was cut short, and he sat on a chair in the middle of the room."
throw#ball#pitcher#batter,The,"The pitcher throws a ball to the batter, and the batter is able to do whatever he wants."
apply#brush#makeup#face,The,The face of a man applies to a face that has been painted with a paintbrush or makeup.
wear#helmet#bike#ride,The,"The man is wearing a helmet, but he is riding a bike and is not wearing any gear."
wear#air#jump#shirt,The,"The man in the shirt is wearing a long-sleeved, high-necked air."
field#catch#football#throw,The,"The Bulldogs threw for a season-high five touchdowns, but were caught in field goal and football."
arm#throw#air#dismount,The,"The air was dismounting, and he threw his arms around the young man's neck again."
race#run#runner#street,The,The race ran down the main street of the runner's village in the early hours of the morning.
tie#knot#demonstrate#rope,The,The ties were demonstrated by the ropes used to tie them together and by the knotting of them.
table#sit#beer#glass,The,The table below shows the two types of beer that can be sitting in a glass with other glasses.
bull#ride#chase#horse,The,The man is riding a horse in the middle of the bull-ring and chases the bull.
beer#fill#glass#tap,The,"The glass is filled with beer, water, tap water, and a bottle of water with ale."
push#cart#toddler#store,The,The toddler is pushing a cart with two of his siblings and two store-bought teddy bears.
walk#street#fall#snow,The,"The snow fell on the street, and I was walking down the road in the snow with snow."
smoke#pipe#smoke#blow,The,"The pipe is blown out of the smoke, Smoke is emitted from the mouth of the man."
jump#run#track#sand,The,"The sand is running down the track, and the man jumps onto the track to get away from it."
music#dance#head#shake,The,The music is shaking the head of a young man who has never danced before in his entire life.
snack#eat#floor#sit,The,The giraffe is sitting on the ground eating a snack on the floor of the zoo enclosure.
fish#food#pond#feed,The,"The fish is fed on the edge of a pond with food in it, such as grains or algae."
paddle#body#water#kayak,The,"The body is then dipped in water, and the man is paddled by kayak to the shore."
wool#shave#sheep#hold,The,The sheep are being held by the Woolshed to be shaved for the new season of show.
head#lift#drop#weight,The,The head of the weightlifting team dropped out of the competition due to the COVID-19.
pineapple#knife#cut#skin,The,"The man cut the knife with his bare skin, peeling it off with his teeth and pineapple."
dog#stand#groom#table,The,"The dog is standing next to the groomer, who is on the table with the other dogs."
music#treadmill#run#listen,The,"The music was also listened to on a treadmill, running at a speed of up to 20 knots."
ceiling#climb#hang#rope,The,"The ceiling is hung with rope, and the girls climb up to the top of the chandelier."
wear#stage#dance#dancer,The,The dancer is wearing a dress that has been staged to look like she is dancing on the floor.
work#break#take#worker,The,The workers took over the building and worked hard to break down the walls of the old town hall.
water#tail#alligator#pull,The,The tail of an alligators can be pulled up by a man with a full-water engine.
bucket#milk#cow#hand,The,"The Buckets of milk are handed over to the cow, who grabs them with both paws alone."
bicycle#ground#ride#fall,The,"The man is riding on the ground and falling over, but he is on a bicycle with wheels."
gym#tricep#pull#down,The,The tricep pull down is a gymnastic move in which one or both of the hands.
costume#dance#street#wear,The,The street costume is typically worn by people who have never danced in front of a live audience before.
hold#ask#sign#money,The,The money was then asked to be held in a trust and signed off on by the Prime Minister.
find#walk#wood#mushroom,The,"The larvae are found in wooded areas, where they can walk deep into the ground and mushroom."
sharpener#sharpen#drill#pencil,The,"The scissors are used to drill holes in the pencil, then sharpener is used to sharpen."
knife#chop#cut#board,The,"The cutting boards are cut with a cutting knife, and the cutting board is then stapled."
shake#table#sit#head,The,"The table below shows the head-to-head standings, as well as a couple of shakeups."
stand#goat#feed#fence,The,"The larvae feed on a wide range of animals, including goats, sheep, pigs and standing fence."
water#pool#swim#jump,The,"The swimming pool is open to the public, but the jumping water is not accessible to the general public."
shave#leg#put#cream,The,"The leg was put in the ice cream, and it was shaves off in a few seconds."
building#window#wash#hang,The,"The building has a hang-up window, which is probably to wash out the contents of the room."
market#fruit#sell#vegetable,The,"The fruit is sold in the markets of the United States, Australia, New Zealand and other vegetables."
music#dance#room#perform,The,The music was performed in the living room of the house where she had been dancing with her husband.
wear#hand#hold#shirt,The,"The man in black is wearing a black shirt, holding a hand up to his face and pointing."
bike#ride#take#break,The,The bike takes a broken down bike and rides it back to the house where it was broken down.
candle#blow#birthday#cake,The,"The candle is blown out of the cake, and her birthday party is over for the next day."
ride#fall#bike#ramp,The,"The bike fell off the ramp, but the man riding it was able to get it back up."
run#ball#dog#mouth,The,The dog is running around the mouth of the ball and the dog is not going to be able.
ball#owner#dog#throw,The,The owner of the dog throws the ball to a young boy who is playing with the ball nearby.
read#bench#paper#sit,The,"The paper sits on a bench in the middle of the library reading room, between two large mirrors."
dog#path#bush#run,The,"The dog runs down the path to the bush, where it is confronted by a pair of dogs."
run#jump#field#hurdle,The,"The field jumped on the first challenge, but they ran out of time to challenge the second challenge."
dough#roll#piece#hand,The,"The dough is rolled out onto a piece of paper, then placed in the oven on the right."
spin#field#throw#discus,The,The discus throw is one of the most powerful throws in the field of spin-jumping.
game#pass#ball#team,The,The team also passed on the ball to Cantona in a game against West Ham United in 2001.
wall#walk#cover#graffiti,The,"The walls of the cave are covered in graffiti, and walkways lead to the outside of it."
hit#ball#game#tennis,The,The ball was hit in the first game of a double-elimination tournament between tennis teams.
roast#marshmallow#campfire#sit,The,"The Marshallmallow is sitting on the roof of the campfire, staring off into the night sky."
hand#couple#street#walk,The,"The couple walk down the street, hands in each other's arms, then stop to hug each other."
dog#bed#take#nap,The,The dog is taking a nap on the bed next to the bedding and the dog is sleeping.
eat#worker#sandwich#break,The,The man is eating a sandwich that has been broken by the worker who is about to throw it.
roll#dice#piece#move,The,"The piece was then moved to the ""Rolling Stone"" website, where it remained for several days."
snow#ride#hill#bike,The,The ride is one of the hill bikes that are popular with snowboarders and cross-country skiers
sausage#roll#pan#cook,The,The panning shot of the house shows how it is covered in rolls of cooking sausages.
roll#dough#pin#flour,The,The dough is rolled out to a thickness of 1/4 to 1/3 of the flour.
table#throw#ball#cup,The,The table below shows the ball throwers who threw the most pitches in the 2011–12 season.
ride#pull#cart#donkey,The,The donkey pulls the cart and the horse rides in the middle of the field to the other side.
lay#bench#weight#lift,The,The bench lifted the weight of the two men and laid it down on the ground next to them.
throw#pass#game#quarterback,The,"The game passes through the quarterback, who throws the ball to the other team's running back."
walk#road#bike#ride,The,The man is riding a bike along the road and is walking towards the camera when he is hit.
ball#player#field#throw,The,"The player throws a ball onto the field, and the ball bounces off of one of the players."
sew#machine#needle#thread,The,"The sewing machine is threaded through the needle, and the sewers are attached to the machine."
soap#dog#water#scrub,The,The hot dog is soaps that have been scrubbed down with water to prevent them from decomposing.
faucet#turn#rinse#hand,The,The hand is then raked over the faucet and turns to rinse the hand with water.
drive#car#shift#gear,The,"The car is shifted into gear, and the car drives off in the opposite direction of the driver."
parade#watch#street#side,The,"The street is side by side with the Parades Ground, which was watched by about 1,000 people"
flag#horse#ride#carry,The,"The horse is carrying the flag of the ride, and the man is on the horse's back."
club#ball#hit#course,The,"The ball hit the golf course, and it was hit in the middle of the club's face."
stand#wear#building#front,The,"The building stands in front of the Milwaukee Art Museum, wearing a yellow and white hat with U."
band#parade#march#instrument,The,"The band has toured extensively in Europe and the United States, marching with various musical instruments and parade."
mirror#brush#hair#look,The,"The mirror has a black and white look to it, with black hair and dark brown and brushed."
train#platform#stand#wait,The,The station is standing on a platform waiting for trains to be ready for the new year's celebrations.
plaster#apply#wall#tool,The,The tools and tools can be applied to a wide range of Plaster Wall and Plaster U.
stage#perform#audience#front,The,"The audience then performs a stage show in front of the audience, which is shown on the screen."
calf#rodeo#cowboy#rope,The,The rodeo cowboy with a calf on a rope and a cowboy with an antlers on his head.
head#shave#chair#sit,The,The head of the Department of Justice is a man who is sitting in a leather chair shaved off.
fold#sit#table#paper,The,"The paper is sitting on a table in the middle of the room, and someone is folded it."
laugh#put#foot#face,The,"The man puts his face in his hand and laughs, then puts his foot up on the railing."
run#kick#ball#grass,The,The ball kicks off with a long run up the grass to the right of the scrum line.
player#oppose#ball#team,The,"The team also opposed the ball, as the player was not able to make contact with the ball."
ride#ball#hit#horse,The,"The horse is hit by the ball and rides off, but not before it is hit in the face."
listen#ride#bike#music,The,The man is listening to music on his bike while riding through the city centre on a sunny day.
hit#racket#hold#ball,The,"The ball was hit by a racket, which was held up by a man in a red jacket."
shirt#hit#ball#wall,The,"The ball hit the wall, and he was out of the game with a red-shirt injury."
wear#grill#shirt#cook,The,"The man is wearing a white shirt and cooking on a grill, while the woman is wearing glasses."
jump#flip#water#board,The,The board has also jumped on the water polo and ice hockey flip-flop in recent years.
front#weight#mirror#lift,The,"The front of the mirror is lifted, and the weight of the vehicle is lifted off the ground."
gym#perform#exercise#rope,The,The gymnast performs a gymnastic exercise with ropes and other equipment to rope up to the box.
jockey#ride#horse#race,The,"The horse is a jockey, riding in a race with other horses of the same colour together."
water#dog#mouth#stick,The,The dog is stuck in the mouth of a man who is drinking from the water lily pond.
apply#makeup#mirror#look,The,"The makeup is applied to the face, then the skin is looked over with a mirror to look."
fly#bird#hold#hand,The,The bird is holding on to the hand of a man who is flying away from the other side.
talk#eat#sit#table,The,The table sits on a countertop and is about to be eaten when a man talking to himself.
egg#cook#fry#pan,The,The pan is cooked and the eggs are ready to be fried in the oil on a wooden board.
field#ball#kick#kid,The,The ball is kicked into the field of play by the two kids who are playing with the ball.
run#hit#player#ball,The,The ball was hit to the player who ran away from the ball during the play of the game.
horse#field#polo#ride,The,"The horse is riding in a field of polo, while the man is playing polo with horses."
use#razor#shave#leg,The,The leg is used by a razor to shaved off the top of the man's head and there.
sit#music#chair#listen,The,The music sits on the chair and listens to the music in the room with the chair in it.
paper#rock#game#scissor,The,The paper is a game of scissor and rock-paper-scissors in which players.
glass#chair#sit#wear,The,The man is wearing a glass chair that is sitting on top of a plastic chair with red cushions.
use#bolt#loosen#wrench,The,The bolts were used to loosen the bolts used to tightening the tensioner on the old electric wrench.
cafe#coffee#drink#sit,The,"The coffee is sitting in the cafe, drinks on the counter, and a few people are chatting."
hand#car#wheel#drive,The,The car is powered by a single-cylinder engine driving the front wheels through a single hand.
take#trick#picture#skateboarder,The,"The trick is to take a picture of the skateboarder, then take a few close up shots."
knife#sharpen#talk#demonstrate,The,The man is shown using a knife to demonstrate how to break into someone's home and talk to them.
chair#read#book#sit,The,The book is a read-aloud and sits on the desk with a chair to the side.
laugh#tear#paper#front,The,"The paper is laughing at the front of the room, and the protesters are tearing up the carpet."
sit#wrap#table#present,The,The table is presented in the form of a table that wraps around and sits on top of it.
paint#mirror#face#hold,The,The painted face of the Virgin Mary is held up by a mirror on the altar of the church.
hang#dog#tongue#run,The,"The dog runs away, and the tongue is hanging out of the dog's mouth by its cheek."
dog#water#jump#dock,The,The dog jumped onto the dock and jumped over the water lily pads to get into the boat.
swing#bat#ball#hit,The,"The ball was hit in the middle of the bat, and he did not swing at the ball."
toy#grass#carry#dog,The,The dog is carrying a teddy bear on the grass next to a dog toy and other items.
snow#shovel#car#park,The,The man shovels snow out of his car in the park on a cold winter morning in winter.
lift#spotter#help#weight,The,The weight of the pot helps to lift the spotter away from the camera and out of view.
bar#mat#land#jump,The,"The mat was then used to jump onto a bar and land on the mat, before furthering."
bike#tree#surround#ride,The,"The bike is surrounded by trees, and the bike rides through the park in a circle around it."
hammer#use#tire#hit,The,"The man uses a hammer to hit the tire of the vehicle, which is stuck in the mud."
neck#tie#demonstrate#tie,The,"The ties were demonstrated with a tie-dyeing competition, tied with the necktie contest."
grinder#meat#grind#bowl,The,The meat is grinder grinds to a golden brown and the bowls are ready to be served.
floor#sit#present#open,The,"The station opened on the first floor, which was presented as a sitting room with an oval window."
carry#bag#street#walk,The,The man is carrying a bag of cannabis and walking down the street with it in his left hand.
plant#hose#water#hold,The,The water is held in the reservoir by hoses that are connected to the plant's heat pumps.
ball#catch#dog#jump,The,The dog jumped over the ball and caught it with one of its paws and let go of it.
ride#jump#horse#obstacle,The,The horse jumped over the obstacles and rode to the other side of the bridge with a great roar.
food#apron#prepare#wear,The,The woman is wearing a black and white long-sleeved prepared food with apron over it.
ocean#ride#surfer#wave,The,The surfers are riding along the ocean with waves as high as they can get them to surfers.
wall#place#brick#mortar#build,The,"The walls were built of brick and mortar, and placed in front of the church to protect it."
sew#fabric#stitch#piece#machine,The,The fabric is patterned after a piece of fabric used by seamstresses to stitch their machines.
press#scanner#place#button#card,The,The button placed at the top of the card allows the user to press it to select a scanner.
ball#baseball#practice#throw#catch,The,The practice of throwing balls into the middle of the baseball field has been caught on video by ESPN.
throw#stand#discus#spin#area,The,The discus is spun and the discus stands up to throw in the air in the area.
practice#tennis#ball#wall#bounce,The,"The ball bounce off the wall and into the tennis courts, where it is practice for future matches."
wood#dog#snow#catch#fall,The,The dog is caught by the snow and falls to the wooded area near where it was fallen.
tissue#blow#nose#stand#toddler,The,"The toddler was blown away by the teddy bear, which stood on its nose like a nose."
road#truck#pass#draw#cart,The,"The truck passed through the cart road, and drew up in front of the house at the corner."
machine#bowl#roast#bean#pour,The,"The man is pouring coffee beans into a machine, and is preparing to roast them into a bowl."
kite#ride#hold#snowboard#pull,The,The man is holding a skateboard that is pulled up to his snowboard and he is riding.
beach#leash#dog#jump#hold,The,The dog's leash was held by a man who jumped on the beach to grab it from him.
foot#shuffle#listen#music#dance,The,The music was shuffled back to the foot of the dance floor and listened to by the judges.
hand#wash#hose#water#plant,The,"The water is washing away the plants and huts, and the hands of the huts are."
horse#watch#cowboy#rodeo#throw,The,The rodeo is a horse-racing event that is thrown by the cowboy watch in Texas.
knife#fork#plate#spoon#sandwich,The,"The plate has a small spoon, a sandwich knife, and a fork on it's upper surface."
wash#sit#chair#foot#row,The,The chair is in a row with two footrests and a chair that sits on a wash.
kid#street#ride#helmet#scooter,The,"The kids are scooters, the helmet is on the street riding with other scooters and motorcycles."
friend#knit#enjoy#learn#celebration,The,The friends who enjoyed the celebration learn how to knit and how to make a lot of new friends.
piece#paper#hand#pencil#draw,The,The paper drew on a large hand-penciled drawing on a piece of paper to represent.
sit#stand#hand#pool#splash,The,The pool sits on a sloping ground with a splash of water standing in the hands of water.
son#father#ride#bike#watch,The,The father of the man who was riding his son on a bike while he was watching television in.
swim#water#picture#take#photographer,The,"The picture taken by photographer, Swim, shows the water lily as well as other plants."
jump#shoot#hoop#basketball#trampoline,The,The men jumped into the trampoline and shot up to the basketball hoop in front of them.
sit#animal#fur#top#pet,The,"The fur is very soft, and the animal sits on top of the pet's head with long."
front#audience#cowboy#horse#ride,The,"The horse rode in front of the audience, cowboy style, with a large cowboy hat on his head."
stretch#lie#use#band#leg,The,"The band uses a long stretch of leg, then lies down on the floor and spreads his legs."
policeman#motorcycle#ride#wear#jacket,The,"The man is wearing a black jacket, a black motorcycle jacket, and is riding a white bike."
read#grass#book#sunglass#lay,The,The book is laid out in a staccato read-out with sunglasses on the green grass.
cheer#score#team#goal#crowd,The,The team scored a goal in the first minute of the match with a free kick from the crowd.
glove#smoke#wear#cigarette#blow,The,The man is wearing a cigarette and smoking it while he gloves his mouth to blow the smoke.
listen#stand#front#music#microphone,The,"The music is listened to in front of the microphone, and the stand is connected to the listening position."
music#headphone#listen#walk#wear,The,The man is wearing a black T-shirt and listens to music while walking down the street nearby.
skate#skate#figure#perform#routine,The,The figure is a figure of a skateboarder performing a routine at a skate park in Skate.
back#talk#sit#lie#floor,The,The baby sits on the back and lies on the floor while he talks to his father and grandmother.
meat#grinder#put#fall#bowl,The,The bowl of meat is then put in the fall grinder and the bottom of the bowl is.
talk#eat#kid#seat#background,The,The kids are talking to each other and they are eating their own background and having their own seat.
juggle#light#ball#fire#hold,The,"The ball was held by Juggs, who fired it into the net for the first time."
tool#bottle#use#remove#cork,The,"The man uses a cork to remove the bottle, and the tools are then used to remove."
let#ground#ball#touch#kick,The,"The ball was kicked to the ground and let go, but it did not touch the ground again."
short#bench#sit#top#wear,The,"The bench sat on top of a short, black, worn-out bench with a wooden bench."
practice#fall#net#trapeze#swinge,The,"The net was Trapeze in practice, but it was not until the fall of 1929 that."
player#jersey#wear#pant#helmet,The,"The Panthers wore a jersey with the number ""10"" on the helmet for the first two games."
saute#demonstrate#vegetable#pan#chef,The,The man is a chef and demonstrates how to pan-sear the vegetables in Saute pan.
pull#cookie#oven#place#candy,The,The cookie is placed in the oven and the candy is pulled out of the oven by the oven.
bride#stand#bridesmaid#groomsman#groom,The,The bride is a bridesmaid who is groomed to stand by her groomsman's side.
shake#bed#sit#bottle#head,The,"The man sitting next to him shakes his head, then grabs a bottle of water from his bed."
hold#put#hand#lady#soap,The,"The lady is putting on her soap, and she is holding a handkerchief over her face."
goggle#pool#hand#jump#hold,The,"The pool's hands are held high, and the boy jumps off the edge of the goggle."
ball#field#kick#run#goal,The,"The field goal kicked off the ball, which ran into the end zone for a 7-yard touchdown."
lead#ride#desert#camel#guide,The,The camel is guided by a man who leads it and rides in the desert on a wooden cart.
relax#clothing#beach#hang#suit,The,"The beach is used to hang clothing, suitcases, and relaxing in the sun on a summer."
street#bicycle#ride#wear#hat,The,The man is wearing a hat and is riding on a bicycle in the street near the parking lot.
whistle#spectator#blow#referee#watch,The,"The referee watched the play and blew the whistle for a foul, which was later judged to be."
fight#audience#belt#front#artist,The,"The audience was very much in front of the artist, and they were fighting with each other belts."
wear#toilet#glove#brush#clean,The,"The man is wearing a white shirt, black gloves, and has brush- clean black toiletries."
sew#give#machine#instruction#use,The,"The machine uses the instruction given to it by the Sew, which is used to transfer data."
ride#paint#face#bike#drag,The,The bike is painted in the face of the ride's drag racer theme and features a black leather.
box#cut#wrap#strip#paper,The,"The box was wrapped in a paper strip, and was cut up into strips long and wide enough."
tap#hand#pen#hold#table,The,The pen is held by a wooden hand-tap on the table in the middle of the room.
mower#helmet#race#track#wear,The,"The race is wearing on her, and she is racing with a helmet on for the first time."
sail#ride#wind#power#vehicle,The,The vehicle is powered by a single-cylinder diesel engine that rides on the rear of the vehicle.
hit#caddy#scorekeeper#wait#ball,The,The ball is waiting for Caddy to hit the ball and score a goal for his new club.
floor#clean#mop#chase#dog,The,"The mop is clean, the dog is chatted up on the floor and chased around by."
father#daughter#son#plant#tree,The,"The son of his father's first wife, he was planted in trees by his mother's daughter."
member#instrument#parade#band#march,The,"The band is members of the ""Parade"" musical instrument group, which marched in the parade."
walk#field#leash#grass#dog,The,"The dog is walking on the grass and the field with a leash, which is around his neck."
mirror#adjust#tie#front#stand,The,The mirror is arranged in front of the bow and is adjusted to stand in a tiered position.
suck#sucker#put#lip#mouth,The,The mouth is put on the lip and the suckers are pulled out with a suction.
hang#doughnut#eat#kid#string,The,"The doughnut is hanging by a string, ready to be eaten by the kids in the classroom."
